Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
LY,336,2024-02-13 02:55:00,2024-02-13 02:59:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
SK,3152,2024-02-13 02:55:00,2024-02-13 02:59:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
OS,859,2024-02-13 02:50:00,2024-02-13 03:03:00,A,VIE,VIENNA,AUSTRIA,3,LANDED
AM,7854,2024-02-13 03:55:00,2024-02-13 03:59:00,A,CDG,PARIS,FRANCE,3,LANDED
LY,326,2024-02-13 03:55:00,2024-02-13 03:59:00,A,CDG,PARIS,FRANCE,3,LANDED
SK,3158,2024-02-13 03:55:00,2024-02-13 03:59:00,A,CDG,PARIS,FRANCE,3,LANDED
NH,5620,2024-02-13 03:50:00,2024-02-13 04:34:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
OS,860,2024-02-13 03:50:00,2024-02-13 04:34:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
AA,9267,2024-02-13 05:05:00,2024-02-13 05:05:00,A,LHR,LONDON,UNITED KINGDOM,3,CANCELED
AM,7876,2024-02-13 05:05:00,2024-02-13 05:05:00,A,LHR,LONDON,UNITED KINGDOM,3,CANCELED
LY,318,2024-02-13 05:05:00,2024-02-13 05:05:00,A,LHR,LONDON,UNITED KINGDOM,3,CANCELED
SK,3174,2024-02-13 05:05:00,2024-02-13 05:05:00,A,LHR,LONDON,UNITED KINGDOM,3,CANCELED
AA,9262,2024-02-13 05:55:00,2024-02-13 05:59:00,D,CDG,PARIS,FRANCE,3,DEPARTED
AM,7867,2024-02-13 05:55:00,2024-02-13 05:59:00,D,CDG,PARIS,FRANCE,3,DEPARTED
LY,4,2024-02-13 06:50:00,2024-02-13 05:59:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
LY,319,2024-02-13 05:55:00,2024-02-13 05:59:00,D,CDG,PARIS,FRANCE,3,DEPARTED
SK,3161,2024-02-13 05:55:00,2024-02-13 05:59:00,D,CDG,PARIS,FRANCE,3,DEPARTED
B6,6484,2024-02-13 06:35:00,2024-02-13 06:11:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
DL,7444,2024-02-13 06:35:00,2024-02-13 06:11:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
LY,28,2024-02-13 06:35:00,2024-02-13 06:11:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
AM,7864,2024-02-13 06:05:00,2024-02-13 06:16:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
LY,337,2024-02-13 06:05:00,2024-02-13 06:16:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
