_id,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
665,AM,7851,AERO MEXICO,2024-02-14T16:10:00,2024-02-14T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
666,LY,339,EL AL ISRAEL AIRLINES,2024-02-14T16:10:00,2024-02-14T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
667,SK,3151,SAS,2024-02-14T16:10:00,2024-02-14T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
668,IZ,161,ARKIA  ISRAELI  AIRLINES,2024-02-14T16:15:00,2024-02-14T16:15:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,46-50,B,ON TIME,בזמן
669,LY,5130,EL AL ISRAEL AIRLINES,2024-02-14T16:20:00,2024-02-14T16:20:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,NOT FINAL,לא סופי
670,IZ,821,ARKIA  ISRAELI  AIRLINES,2024-02-14T16:30:00,2024-02-14T16:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,ON TIME,בזמן
671,LH,687,LUFTHANSA,2024-02-14T16:35:00,2024-02-14T16:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
672,SN,7174,BRUSSELS AIRLINES,2024-02-14T16:35:00,2024-02-14T16:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
673,UA,9123,UNITED AIRLINES,2024-02-14T16:35:00,2024-02-14T16:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
674,AA,9258,AMERICAN AIRLINES,2024-02-14T16:40:00,2024-02-14T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
675,IB,2393,IBERIA,2024-02-14T16:40:00,2024-02-14T16:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
676,LY,320,EL AL ISRAEL AIRLINES,2024-02-14T16:40:00,2024-02-14T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
677,LY,394,EL AL ISRAEL AIRLINES,2024-02-14T16:40:00,2024-02-14T16:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
678,6H,561,ISRAIR AIRLINES,2024-02-14T16:40:00,2024-02-14T16:40:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,40-43,B,ON TIME,בזמן
679,AM,7853,AERO MEXICO,2024-02-14T16:50:00,2024-02-14T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
680,LY,325,EL AL ISRAEL AIRLINES,2024-02-14T16:50:00,2024-02-14T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
681,LY,338,EL AL ISRAEL AIRLINES,2024-02-14T16:50:00,2024-02-14T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
682,SK,3150,SAS,2024-02-14T16:50:00,2024-02-14T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
683,AM,7866,AERO MEXICO,2024-02-14T17:05:00,2024-02-14T17:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
684,AR,7873,AEROLINEAS ARGENTINAS S.A.,2024-02-14T17:05:00,2024-02-14T17:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
685,IB,2396,IBERIA,2024-02-14T17:05:00,2024-02-14T17:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
686,LY,397,EL AL ISRAEL AIRLINES,2024-02-14T17:05:00,2024-02-14T17:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
687,AM,7856,AERO MEXICO,2024-02-14T17:10:00,2024-02-14T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
688,AR,7856,AEROLINEAS ARGENTINAS S.A.,2024-02-14T17:10:00,2024-02-14T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
