_id,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
936,LY,542,EL AL ISRAEL AIRLINES,2024-02-15T14:15:00,2024-02-15T14:15:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
937,AF,962,AIR FRANCE,2024-02-15T14:20:00,2024-02-15T14:20:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
938,AR,7876,AEROLINEAS ARGENTINAS S.A.,2024-02-15T14:20:00,2024-02-15T14:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
939,B6,6482,JETBLUE AIRWAYS CORPORATION,2024-02-15T14:20:00,2024-02-15T14:20:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
940,DL,7442,DELTA AIRLINES,2024-02-15T14:20:00,2024-02-15T14:20:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
941,DL,8457,DELTA AIRLINES,2024-02-15T14:20:00,2024-02-15T14:20:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
942,EK,2346,EMIRATES,2024-02-15T14:20:00,2024-02-15T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
943,FZ,1126,FLYDUBAI,2024-02-15T14:20:00,2024-02-15T14:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,ON TIME,בזמן
944,LY,026,EL AL ISRAEL AIRLINES,2024-02-15T14:20:00,2024-02-15T14:20:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
945,LY,386,EL AL ISRAEL AIRLINES,2024-02-15T14:20:00,2024-02-15T14:20:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
946,TO,3452,TRANSAVIA FRANCE,2024-02-15T14:25:00,2024-02-15T14:25:00,A,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
947,6H,842,ISRAIR AIRLINES,2024-02-15T14:25:00,2024-02-15T14:25:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,NOT FINAL,לא סופי
948,BZ,702,BLUE BIRD AIRWAYS,2024-02-15T14:30:00,2024-02-15T14:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,ON TIME,בזמן
949,IZ,281,ARKIA  ISRAELI  AIRLINES,2024-02-15T14:30:00,2024-02-15T14:30:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,29-33,A,ON TIME,בזמן
950,ET,419,ETHIOPIAN AIRLINES,2024-02-15T14:35:00,2024-02-15T14:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,ON TIME,בזמן
951,LY,355,EL AL ISRAEL AIRLINES,2024-02-15T14:35:00,2024-02-15T14:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
952,LY,8809,EL AL ISRAEL AIRLINES,2024-02-15T14:35:00,2024-02-15T14:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,ON TIME,בזמן
953,SK,3179,SAS,2024-02-15T14:35:00,2024-02-15T14:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
954,WZ,016,RED WINGS AIRLINES,2024-02-15T14:35:00,2024-02-15T14:35:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,63-65,C,ON TIME,בזמן
955,NH,5621,ALL NIPPON AIRWAYS,2024-02-15T14:45:00,2024-02-15T14:45:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
956,OS,857,AUSTRIAN AIRLINES,2024-02-15T14:45:00,2024-02-15T14:45:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
957,IZ,2825,ARKIA  ISRAELI  AIRLINES,2024-02-15T14:50:00,2024-02-15T14:50:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G14-G18,G,ON TIME,בזמן
958,LY,2366,EL AL ISRAEL AIRLINES,2024-02-15T14:55:00,2024-02-15T14:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
959,LY,362,EL AL ISRAEL AIRLINES,2024-02-15T14:55:00,2024-02-15T14:55:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
960,U8,108,TUS AIRWAYS,2024-02-15T14:55:00,2024-02-15T14:55:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
961,IZ,414,ARKIA  ISRAELI  AIRLINES,2024-02-15T15:00:00,2024-02-15T15:00:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
962,LO,153,LOT POLISH AIRLINES,2024-02-15T15:00:00,2024-02-15T15:00:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
963,LY,9254,EL AL ISRAEL AIRLINES,2024-02-15T15:00:00,2024-02-15T15:00:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
964,LY,5107,EL AL ISRAEL AIRLINES,2024-02-15T15:05:00,2024-02-15T15:05:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
965,LY,972,EL AL ISRAEL AIRLINES,2024-02-15T15:10:00,2024-02-15T15:10:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
966,6H,561,ISRAIR AIRLINES,2024-02-15T15:25:00,2024-02-15T15:25:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,44-47,B,ON TIME,בזמן
967,LY,343,EL AL ISRAEL AIRLINES,2024-02-15T15:30:00,2024-02-15T15:30:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
968,SK,3191,SAS,2024-02-15T15:30:00,2024-02-15T15:30:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,ON TIME,בזמן
969,LY,2372,EL AL ISRAEL AIRLINES,2024-02-15T15:35:00,2024-02-15T15:35:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
970,SK,3154,SAS,2024-02-15T15:35:00,2024-02-15T15:35:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
971,TO,3453,TRANSAVIA FRANCE,2024-02-15T15:35:00,2024-02-15T15:35:00,D,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,3,,,ON TIME,בזמן
972,FR,2005,RYANAIR,2024-02-15T15:40:00,2024-02-15T15:40:00,A,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,,,NOT FINAL,לא סופי
973,OS,858,AUSTRIAN AIRLINES,2024-02-15T15:40:00,2024-02-15T15:40:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,12-21,A,ON TIME,בזמן
974,6H,662,ISRAIR AIRLINES,2024-02-15T15:50:00,2024-02-15T15:50:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
975,AF,963,AIR FRANCE,2024-02-15T15:55:00,2024-02-15T15:55:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,34-40,B,ON TIME,בזמן
976,U8,109,TUS AIRWAYS,2024-02-15T15:55:00,2024-02-15T15:55:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,ON TIME,בזמן
977,LO,154,LOT POLISH AIRLINES,2024-02-15T16:00:00,2024-02-15T16:00:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,8-11,A,ON TIME,בזמן
978,LY,346,EL AL ISRAEL AIRLINES,2024-02-15T16:00:00,2024-02-15T16:00:00,A,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
979,LY,382,EL AL ISRAEL AIRLINES,2024-02-15T16:00:00,2024-02-15T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
980,LY,9253,EL AL ISRAEL AIRLINES,2024-02-15T16:00:00,2024-02-15T16:00:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,8-11,A,ON TIME,בזמן
981,SK,3184,SAS,2024-02-15T16:00:00,2024-02-15T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
982,LH,680,LUFTHANSA,2024-02-15T16:05:00,2024-02-15T16:05:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
983,LY,358,EL AL ISRAEL AIRLINES,2024-02-15T16:05:00,2024-02-15T16:05:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
984,SN,7171,BRUSSELS AIRLINES,2024-02-15T16:05:00,2024-02-15T16:05:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
985,UA,9471,UNITED AIRLINES,2024-02-15T16:05:00,2024-02-15T16:05:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
986,AM,7851,AERO MEXICO,2024-02-15T16:10:00,2024-02-15T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
987,IZ,295,ARKIA  ISRAELI  AIRLINES,2024-02-15T16:10:00,2024-02-15T16:10:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,26-29,A,ON TIME,בזמן
988,LY,339,EL AL ISRAEL AIRLINES,2024-02-15T16:10:00,2024-02-15T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
989,SK,3151,SAS,2024-02-15T16:10:00,2024-02-15T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
990,LY,2522,EL AL ISRAEL AIRLINES,2024-02-15T16:25:00,2024-02-15T16:25:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
991,6H,048,ISRAIR AIRLINES,2024-02-15T16:30:00,2024-02-15T16:30:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
992,FR,2008,RYANAIR,2024-02-15T16:35:00,2024-02-15T16:35:00,D,BGY,BERGAMO,ברגמו,BERGAMO,איטליה,ITALY,3,52-55,B,ON TIME,בזמן
993,AA,9258,AMERICAN AIRLINES,2024-02-15T16:40:00,2024-02-15T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
994,IB,2393,IBERIA,2024-02-15T16:40:00,2024-02-15T16:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
995,LY,2373,EL AL ISRAEL AIRLINES,2024-02-15T16:40:00,2024-02-15T16:40:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
996,LY,320,EL AL ISRAEL AIRLINES,2024-02-15T16:40:00,2024-02-15T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
997,LY,394,EL AL ISRAEL AIRLINES,2024-02-15T16:40:00,2024-02-15T16:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
998,AM,7853,AERO MEXICO,2024-02-15T16:50:00,2024-02-15T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
999,LY,325,EL AL ISRAEL AIRLINES,2024-02-15T16:50:00,2024-02-15T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
1000,LY,338,EL AL ISRAEL AIRLINES,2024-02-15T16:50:00,2024-02-15T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
1001,SK,3150,SAS,2024-02-15T16:50:00,2024-02-15T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
1002,IZ,212,ARKIA  ISRAELI  AIRLINES,2024-02-15T16:55:00,2024-02-15T16:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
1003,IZ,2826,ARKIA  ISRAELI  AIRLINES,2024-02-15T16:55:00,2024-02-15T16:55:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
1004,LY,5102,EL AL ISRAEL AIRLINES,2024-02-15T16:55:00,2024-02-15T16:55:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
1005,LY,387,EL AL ISRAEL AIRLINES,2024-02-15T17:00:00,2024-02-15T17:00:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
1006,SK,3183,SAS,2024-02-15T17:00:00,2024-02-15T17:00:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
1007,LY,351,EL AL ISRAEL AIRLINES,2024-02-15T17:05:00,2024-02-15T17:05:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
1008,AM,7856,AERO MEXICO,2024-02-15T17:10:00,2024-02-15T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
1009,AM,7866,AERO MEXICO,2024-02-15T17:10:00,2024-02-15T17:10:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1010,AR,7856,AEROLINEAS ARGENTINAS S.A.,2024-02-15T17:10:00,2024-02-15T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
1011,AR,7873,AEROLINEAS ARGENTINAS S.A.,2024-02-15T17:10:00,2024-02-15T17:10:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1012,B6,6456,JETBLUE AIRWAYS CORPORATION,2024-02-15T17:10:00,2024-02-15T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
1013,DL,7431,DELTA AIRLINES,2024-02-15T17:10:00,2024-02-15T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
1014,IB,2396,IBERIA,2024-02-15T17:10:00,2024-02-15T17:10:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1015,LH,681,LUFTHANSA,2024-02-15T17:10:00,2024-02-15T17:10:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,12-21,A,ON TIME,בזמן
1016,LY,008,EL AL ISRAEL AIRLINES,2024-02-15T17:10:00,2024-02-15T17:10:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
1017,LY,2367,EL AL ISRAEL AIRLINES,2024-02-15T17:10:00,2024-02-15T17:10:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,ON TIME,בזמן
1018,LY,312,EL AL ISRAEL AIRLINES,2024-02-15T17:10:00,2024-02-15T17:10:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
1019,LY,397,EL AL ISRAEL AIRLINES,2024-02-15T17:10:00,2024-02-15T17:10:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1020,SN,7172,BRUSSELS AIRLINES,2024-02-15T17:10:00,2024-02-15T17:10:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,12-21,A,ON TIME,בזמן
1021,AM,7877,AERO MEXICO,2024-02-15T17:15:00,2024-02-15T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
1022,LY,317,EL AL ISRAEL AIRLINES,2024-02-15T17:15:00,2024-02-15T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
1023,BZ,703,BLUE BIRD AIRWAYS,2024-02-15T17:20:00,2024-02-15T17:20:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
1024,6H,711,ISRAIR AIRLINES,2024-02-15T17:20:00,2024-02-15T17:20:00,D,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3,41-44,B,ON TIME,בזמן
1025,LY,5109,EL AL ISRAEL AIRLINES,2024-02-15T17:30:00,2024-02-15T17:30:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
1026,IZ,821,ARKIA  ISRAELI  AIRLINES,2024-02-15T17:40:00,2024-02-15T17:40:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G14-G18,G,ON TIME,בזמן
1027,LY,216,EL AL ISRAEL AIRLINES,2024-02-15T17:45:00,2024-02-15T17:45:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
1028,LY,2523,EL AL ISRAEL AIRLINES,2024-02-15T17:45:00,2024-02-15T17:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,ON TIME,בזמן
1029,AA,9266,AMERICAN AIRLINES,2024-02-15T17:50:00,2024-02-15T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
1030,AM,7859,AERO MEXICO,2024-02-15T17:50:00,2024-02-15T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
1031,AR,7872,AEROLINEAS ARGENTINAS S.A.,2024-02-15T17:50:00,2024-02-15T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
1032,IB,2395,IBERIA,2024-02-15T17:50:00,2024-02-15T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
1033,LY,396,EL AL ISRAEL AIRLINES,2024-02-15T17:50:00,2024-02-15T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
1034,AR,7879,AEROLINEAS ARGENTINAS S.A.,2024-02-15T18:00:00,2024-02-15T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
1035,IZ,161,ARKIA  ISRAELI  AIRLINES,2024-02-15T18:00:00,2024-02-15T18:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,30-33,A,ON TIME,בזמן
1036,LY,383,EL AL ISRAEL AIRLINES,2024-02-15T18:00:00,2024-02-15T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
1037,TP,8900,AIR PORTUGAL,2024-02-15T18:00:00,2024-02-15T18:00:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
1038,6H,721,ISRAIR AIRLINES,2024-02-15T18:00:00,2024-02-15T18:00:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,44-47,B,ON TIME,בזמן
1039,LY,571,EL AL ISRAEL AIRLINES,2024-02-15T18:05:00,2024-02-15T18:05:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,ON TIME,בזמן
1040,BZ,112,BLUE BIRD AIRWAYS,2024-02-15T18:10:00,2024-02-15T18:10:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,ON TIME,בזמן
1041,IB,2390,IBERIA,2024-02-15T18:10:00,2024-02-15T18:10:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1042,LY,391,EL AL ISRAEL AIRLINES,2024-02-15T18:10:00,2024-02-15T18:10:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
1043,A4,5023,AZIMUTH AIRLINES,2024-02-15T18:40:00,2024-02-15T18:40:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
1044,6H,726,ISRAIR AIRLINES,2024-02-15T18:55:00,2024-02-15T18:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
1045,LY,543,EL AL ISRAEL AIRLINES,2024-02-15T19:15:00,2024-02-15T19:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
1046,A4,5024,AZIMUTH AIRLINES,2024-02-15T19:50:00,2024-02-15T19:50:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,53-55,B,ON TIME,בזמן
1047,LY,5133,EL AL ISRAEL AIRLINES,2024-02-15T20:00:00,2024-02-15T20:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,ON TIME,בזמן
1048,6H,891,ISRAIR AIRLINES,2024-02-15T20:00:00,2024-02-15T20:00:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,34-37,B,ON TIME,בזמן
1049,IZ,822,ARKIA  ISRAELI  AIRLINES,2024-02-15T20:05:00,2024-02-15T20:05:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
1050,LY,081,EL AL ISRAEL AIRLINES,2024-02-15T20:05:00,2024-02-15T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
1051,QF,5020,QANTAS AIRWAYS,2024-02-15T20:05:00,2024-02-15T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
1052,TG,4584,THAI AIRWAYS,2024-02-15T20:05:00,2024-02-15T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
1053,VN,3298,VIETNAM AIRLINES,2024-02-15T20:05:00,2024-02-15T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
1054,6H,562,ISRAIR AIRLINES,2024-02-15T20:40:00,2024-02-15T20:40:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
1055,AA,9259,AMERICAN AIRLINES,2024-02-15T20:45:00,2024-02-15T20:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
1056,AM,7862,AERO MEXICO,2024-02-15T20:45:00,2024-02-15T20:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
1057,LY,087,EL AL ISRAEL AIRLINES,2024-02-15T20:45:00,2024-02-15T20:45:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
1058,LY,324,EL AL ISRAEL AIRLINES,2024-02-15T20:45:00,2024-02-15T20:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
1059,SK,3160,SAS,2024-02-15T20:45:00,2024-02-15T20:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
1060,IZ,162,ARKIA  ISRAELI  AIRLINES,2024-02-15T21:00:00,2024-02-15T21:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
1061,AA,9260,AMERICAN AIRLINES,2024-02-15T21:05:00,2024-02-15T21:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
1062,LY,316,EL AL ISRAEL AIRLINES,2024-02-15T21:05:00,2024-02-15T21:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
1063,LY,5108,EL AL ISRAEL AIRLINES,2024-02-15T21:20:00,2024-02-15T21:20:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
1064,LY,974,EL AL ISRAEL AIRLINES,2024-02-15T21:25:00,2024-02-15T21:25:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
